id,name,type,latitude,longitude,address,phone,operator,emergency,source
248420920,Kalaignar Karunanidhi Nagar,hospital,13.0386493,80.2052158,,,Hospital,no,OSM
248559397,Koyambedu,clinic,13.0720236,80.1980375,,,,no,OSM
248560797,Kasimedu,hospital,13.122775,80.2960584,,,,no,OSM
258978416,Amrit Hospital,hospital,13.0922007,80.2792912,,,,no,OSM
258978417,Vikram Hospital,hospital,13.0985007,80.2796178,,,,no,OSM
262452334,City Tower Hospitals,hospital,13.08438,80.2160862,,,,no,OSM
289486820,"Apollo Hospitals, Tondiarpet",hospital,13.1289367,80.2905623,,,Apollo Hospitals,no,OSM
295544111,K.H.M.Hospital,hospital,13.0844424,80.2130723,,,,no,OSM
295552091,Sundaram Medical Foundation,hospital,13.08217,80.2069819,,,,no,OSM
295552092,Sri Devi Speciality Hospial,hospital,13.0887983,80.1994692,,,,no,OSM
303590777,Corporation Hospital,hospital,13.0336624,80.2572467,,,,no,OSM
308811614,"Hindu Mission Health Services, Kanchipuram",hospital,12.9787682,80.1846471,,,,no,OSM
310015097,Military Hospital,hospital,13.0194622,80.1972947,,,,no,OSM
310504820,Goverment dental hospital & collage,hospital,13.0829605,80.281264,,,,no,OSM
310732936,Kilpauk Medical College,hospital,13.0785984,80.2433369,,,,no,OSM
310909754,Hariharan Hospital,hospital,12.9847145,80.1905906,,,,no,OSM
310910945,BM Hospital,hospital,12.9887616,80.1904116,5th Main Road,044-22670277,,no,OSM
311429396,K.F. Hospital,hospital,12.973463,80.1841397,,,,no,OSM
312000326,Cancer Institute,hospital,13.0061338,80.239884,,,,no,OSM
320275820,Govt Maternity Hospital,hospital,13.0720996,80.2589871,,,,no,OSM
320275824,Institute of Child Health,hospital,13.0735496,80.257025,,,,no,OSM
320275839,Institute of Obstetrics and Gynaecology dd,hospital,13.0735431,80.2591463,,,,no,OSM
364650995,MIOT International,hospital,13.0211808,80.1858412,"4/112, Mount Poonamalle High Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089",044 4200 2288,,no,OSM
367795605,St. Thomas Hospital,hospital,13.0122733,80.196428,,,,no,OSM
370319221,Apollo Pharmacy,pharmacy,13.0645397,80.243327,,,,no,OSM
370967673,Unnamed,hospital,13.009781,80.1949734,,,,no,OSM
375668400,Venkataeswara Hospitals,hospital,13.0293624,80.2440921,,,,no,OSM
378692897,Appolo,pharmacy,13.0348418,80.2555018,,,,no,OSM
378692901,Sugam,pharmacy,13.0386303,80.2517685,,,,no,OSM
378692904,Sugam,pharmacy,13.039551,80.2502927,,,,no,OSM
378692907,Unnamed,pharmacy,13.0402754,80.2500307,,,,no,OSM
378692910,Unnamed,doctors,13.0399682,80.2503287,,,,no,OSM
